tick,avg_hydrolytic_resistance,pct_blocks_in_assemblies
50100,0.533161,0.00
50200,0.547979,0.00
50300,0.568481,0.00
50400,0.538271,0.00
50500,0.558635,0.00
50600,0.554314,0.00
50700,0.530217,0.00
50800,0.528390,0.00
50900,0.550542,0.00
51000,0.527566,0.00
51100,0.542054,0.00
51200,0.526742,0.00
51300,0.521065,0.00
51400,0.544514,0.00
51500,0.554746,0.00
51600,0.560512,0.00
51700,0.569228,0.00
51800,0.563377,0.00
51900,0.536616,0.00
52000,0.551192,0.00
52100,0.564877,0.00
52200,0.545442,0.00
52300,0.540599,0.00
52400,0.582917,0.00
52500,0.551491,0.00
52600,0.552562,0.00
52700,0.549594,4.04
52800,0.528725,3.44
52900,0.529316,3.17
53000,0.536431,2.23
53100,0.513081,0.00
53200,0.527382,0.00
53300,0.545024,0.00
53400,0.530563,0.00
53500,0.555888,0.00
53600,0.555953,0.00
53700,0.547971,0.00
53800,0.567643,0.00
53900,0.556484,0.00
54000,0.549054,0.00
54100,0.555251,0.00
54200,0.563607,0.00
54300,0.541756,0.00
54400,0.560926,0.00
54500,0.569789,0.00
54600,0.550731,0.00
54700,0.555520,0.00
54800,0.550199,0.00
54900,0.548815,0.00
55000,0.545153,0.00
55100,0.553048,0.00
55200,0.536328,0.00
55300,0.549915,0.00
55400,0.558821,0.00
55500,0.538654,0.00
55600,0.551739,0.00
55700,0.556633,0.00
55800,0.531124,0.00
55900,0.530812,0.00
56000,0.543507,0.00
56100,0.546885,0.00
56200,0.545072,0.00
56300,0.573509,0.00
56400,0.555044,0.00
56500,0.543419,0.00
56600,0.566627,0.00
56700,0.545914,0.00
56800,0.567588,0.00
56900,0.591321,0.00
57000,0.558253,0.00
57100,0.544299,0.00
57200,0.572352,0.00
57300,0.537197,0.00
57400,0.555890,0.00
57500,0.570435,0.00
57600,0.535480,0.00
57700,0.555991,0.00
57800,0.532564,0.00
57900,0.522658,0.00
58000,0.548425,0.00
58100,0.568359,0.00
58200,0.545602,0.00
58300,0.528429,0.00
58400,0.536928,0.00
58500,0.533951,0.00
58600,0.534453,0.00
58700,0.540706,0.00
58800,0.521944,0.00
58900,0.539310,0.00
59000,0.554188,0.00
59100,0.535135,0.00
59200,0.540655,0.00
59300,0.552325,0.00
59400,0.542948,0.00
59500,0.540418,0.00
59600,0.547626,0.00
59700,0.546511,0.00
59800,0.554068,0.00
59900,0.573125,0.00
60000,0.546526,0.00
60100,0.551754,0.00
60200,0.553033,0.00
60300,0.558066,0.00
60400,0.557580,0.00
60500,0.574529,0.00
60600,0.560284,0.00
60700,0.535340,0.00
60800,0.572682,0.00
60900,0.554117,0.00
61000,0.554497,0.00
61100,0.562078,0.00
61200,0.540821,0.00
61300,0.555014,0.00
61400,0.564707,0.00
61500,0.545535,0.00
61600,0.561229,0.00
61700,0.559079,0.00
61800,0.561182,0.00
61900,0.551910,0.00
62000,0.565734,0.00
62100,0.535117,0.00
62200,0.554718,0.00
62300,0.567982,0.00
62400,0.548469,0.00
62500,0.557053,0.00
62600,0.567813,0.00
62700,0.553236,0.00
62800,0.546429,0.00
62900,0.528832,0.00
63000,0.507130,0.00
63100,0.543158,0.00
63200,0.547202,0.00
63300,0.540389,0.00
63400,0.545870,0.00
63500,0.549097,0.00
63600,0.529900,0.00
63700,0.534865,0.00
63800,0.538405,0.00
63900,0.517186,0.00
64000,0.527025,0.00
64100,0.558005,0.00
64200,0.547952,0.00
64300,0.553760,0.00
64400,0.566142,0.00
64500,0.552941,0.00
64600,0.545956,0.00
64700,0.576863,0.00
64800,0.550046,0.00
64900,0.548653,0.00
65000,0.564462,0.00
65100,0.551589,0.00
65200,0.558794,0.00
65300,0.575587,0.00
65400,0.558190,0.00
65500,0.538551,0.00
65600,0.551719,0.00
65700,0.527589,0.00
65800,0.542790,0.00
65900,0.554256,0.00
66000,0.535041,0.00
66100,0.537530,0.00
66200,0.558786,0.00
66300,0.542318,0.00
66400,0.559831,0.00
66500,0.552287,0.00
66600,0.537509,0.00
66700,0.560798,0.00
66800,0.557047,0.00
66900,0.543061,0.00
67000,0.532822,0.00
67100,0.555425,0.00
67200,0.535813,0.00
67300,0.535414,0.00
67400,0.546344,0.00
67500,0.531853,0.00
67600,0.549359,0.00
67700,0.556748,0.00
67800,0.542528,0.00
67900,0.554057,0.00
68000,0.540622,0.00
68100,0.545652,0.00
68200,0.544665,0.00
68300,0.568625,0.00
68400,0.532932,0.00
68500,0.537277,0.00
68600,0.554923,0.00
68700,0.538487,0.00
68800,0.554450,0.00
68900,0.561735,0.00
69000,0.540341,0.00
69100,0.549774,0.00
69200,0.549446,0.00
69300,0.548541,0.00
69400,0.542514,0.00
69500,0.536139,0.00
69600,0.524568,0.00
69700,0.546269,0.00
69800,0.548046,0.00
69900,0.533705,0.00
70000,0.529184,0.00
70100,0.537608,0.00
70200,0.521835,0.00
70300,0.533579,0.00
70400,0.559707,0.00
70500,0.538198,0.00
70600,0.546030,0.00
70700,0.547192,0.00
70800,0.539741,0.00
70900,0.547585,0.00
71000,0.559708,0.00
71100,0.552441,0.00
71200,0.553791,0.00
71300,0.558554,0.00
71400,0.558821,0.00
71500,0.559887,0.00
71600,0.566685,0.00
71700,0.552059,0.00
71800,0.548221,0.00
71900,0.550003,0.00
72000,0.542601,0.00
72100,0.552016,0.00
72200,0.555640,0.00
72300,0.539503,0.00
72400,0.541407,0.00
72500,0.550134,0.00
72600,0.536827,0.00
72700,0.549435,0.00
72800,0.557001,0.00
72900,0.558541,0.00
73000,0.556602,0.00
73100,0.572623,0.00
73200,0.535707,0.00
73300,0.550127,0.00
73400,0.572172,0.00
73500,0.545623,0.00
73600,0.540495,0.00
73700,0.550999,0.00
73800,0.529541,0.00
73900,0.525992,0.00
74000,0.567370,0.00
74100,0.528726,0.00
74200,0.550595,0.00
74300,0.544180,0.00
74400,0.530217,0.00
74500,0.538353,0.00
74600,0.556457,0.00
74700,0.541285,0.00
74800,0.552751,0.00
74900,0.565547,0.00
75000,0.544045,0.00
75100,0.557574,0.00
75200,0.559517,0.00
75300,0.539159,0.00
75400,0.552043,0.00
75500,0.553931,0.00
75600,0.535540,0.00
75700,0.553006,0.00
75800,0.559395,0.00
75900,0.540543,0.00
76000,0.551260,0.00
76100,0.553372,0.00
76200,0.541127,0.00
76300,0.547757,0.00
76400,0.551791,0.00
76500,0.545751,0.00
76600,0.547868,0.00
76700,0.548809,0.00
76800,0.537531,0.00
76900,0.552685,0.00
77000,0.553878,0.00
77100,0.537881,0.00
77200,0.546495,0.00
77300,0.566077,0.00
77400,0.555953,0.00
77500,0.557243,0.00
77600,0.532167,0.00
77700,0.514910,0.00
77800,0.516422,0.00
77900,0.545818,0.00
78000,0.539733,0.00
78100,0.543742,0.00
78200,0.550775,0.00
78300,0.537211,0.00
78400,0.543771,0.00
78500,0.546342,0.00
78600,0.531159,0.00
78700,0.523360,0.00
78800,0.564823,0.00
78900,0.542035,0.00
79000,0.546345,0.00
79100,0.569565,0.00
79200,0.528422,0.00
79300,0.538805,0.00
79400,0.538403,0.00
79500,0.541614,0.00
79600,0.553254,0.00
79700,0.551548,0.00
79800,0.532948,0.00
79900,0.541762,0.00
80000,0.557050,0.00
80100,0.544609,0.00
80200,0.533791,0.00
80300,0.561161,0.00
80400,0.542283,0.00
80500,0.540206,0.00
80600,0.545427,0.00
80700,0.529914,0.00
80800,0.535434,0.00
80900,0.545730,0.00
81000,0.536430,0.00
81100,0.545059,0.00
81200,0.548577,0.00
81300,0.538300,0.00
81400,0.549195,0.00
81500,0.558432,0.00
81600,0.559055,0.00
81700,0.555603,0.00
81800,0.567465,0.00
81900,0.532628,0.00
82000,0.570826,0.00
82100,0.569888,0.00
82200,0.543023,0.00
82300,0.560507,0.00
82400,0.562102,0.00
82500,0.533179,0.00
82600,0.535289,0.00
82700,0.559142,0.00
82800,0.546884,0.00
82900,0.556498,0.00
83000,0.569212,0.00
83100,0.553878,0.00
83200,0.528748,0.00
83300,0.538651,0.00
83400,0.539694,0.00
83500,0.545625,0.00
83600,0.548055,0.00
83700,0.530831,0.00
83800,0.564463,0.00
83900,0.559239,0.00
84000,0.543898,0.00
84100,0.526948,0.00
84200,0.535968,0.00
84300,0.525353,0.00
84400,0.528905,0.00
84500,0.551167,0.00
84600,0.538249,0.00
84700,0.537642,0.00
84800,0.540579,0.00
84900,0.536461,0.00
85000,0.547223,0.00
85100,0.549984,0.00
85200,0.539889,0.00
85300,0.547468,0.00
85400,0.571485,0.00
85500,0.559700,0.00
85600,0.546796,0.00
85700,0.551006,0.00
85800,0.550332,0.00
85900,0.540161,0.00
86000,0.553530,0.00
86100,0.532577,0.00
86200,0.550333,0.00
86300,0.572240,0.00
86400,0.568771,0.00
86500,0.570081,0.00
86600,0.551803,0.00
86700,0.545766,0.00
86800,0.550626,0.00
86900,0.551970,0.00
87000,0.535948,0.00
87100,0.553357,0.00
87200,0.560855,0.00
87300,0.530786,0.00
87400,0.528530,0.00
87500,0.543293,0.00
87600,0.530697,0.00
87700,0.539735,0.00
87800,0.527079,0.00
87900,0.525993,0.00
88000,0.558114,0.00
88100,0.548402,0.00
88200,0.541623,0.00
88300,0.543631,0.00
88400,0.551876,0.00
88500,0.527214,0.00
88600,0.545796,0.00
88700,0.543365,0.00
88800,0.530989,0.00
88900,0.541590,0.00
89000,0.560861,0.00
89100,0.556744,0.00
89200,0.552824,0.00
89300,0.561268,0.00
89400,0.548027,0.00
89500,0.545921,0.00
89600,0.553114,0.00
89700,0.547266,0.00
89800,0.540941,0.00
89900,0.557033,0.00
90000,0.536718,0.00
90100,0.525342,0.00
90200,0.554663,0.00
90300,0.526111,0.00
90400,0.541955,0.00
90500,0.544054,0.00
90600,0.541303,0.00
90700,0.535347,0.00
90800,0.547053,0.00
90900,0.536177,0.00
91000,0.546027,0.00
91100,0.545625,0.00
91200,0.540067,0.00
91300,0.540269,0.00
91400,0.569408,0.00
91500,0.549532,0.00
91600,0.557639,0.00
91700,0.555792,0.00
91800,0.541700,0.00
91900,0.553718,0.00
92000,0.556319,0.00
92100,0.541248,0.00
92200,0.551245,0.00
92300,0.572242,0.00
92400,0.546949,0.00
92500,0.552904,0.00
92600,0.566073,0.00
92700,0.539436,0.00
92800,0.556186,0.00
92900,0.555888,0.00
93000,0.559550,0.00
93100,0.538338,0.00
93200,0.538668,0.00
93300,0.525793,0.00
93400,0.545349,0.00
93500,0.566082,0.00
93600,0.535323,0.00
93700,0.539344,0.00
93800,0.568597,0.00
93900,0.528470,0.00
94000,0.569609,0.00
94100,0.558222,0.00
94200,0.536082,0.00
94300,0.547128,0.00
94400,0.558080,0.00
94500,0.539450,0.00
94600,0.548015,0.00
94700,0.553537,0.00
94800,0.536703,0.00
94900,0.550902,0.00
95000,0.547455,0.00
95100,0.539354,0.00
95200,0.547308,0.00
95300,0.542359,0.00
95400,0.534351,0.00
95500,0.545968,0.00
95600,0.544039,0.00
95700,0.553690,0.00
95800,0.550695,0.00
95900,0.544522,0.00
96000,0.551637,0.00
96100,0.543179,0.00
96200,0.571212,0.00
96300,0.551721,0.00
96400,0.554885,0.00
96500,0.551988,0.00
96600,0.539977,0.00
96700,0.541963,0.00
96800,0.545374,0.00
96900,0.543731,0.00
97000,0.533759,0.00
97100,0.548969,0.00
97200,0.528511,0.00
97300,0.543215,0.00
97400,0.561147,0.00
97500,0.536333,0.00
97600,0.544837,0.00
97700,0.536277,0.00
97800,0.544080,0.00
97900,0.556491,0.00
98000,0.570725,0.00
98100,0.535658,0.00
98200,0.532283,0.00
98300,0.554961,0.00
98400,0.535287,0.00
98500,0.546724,0.00
98600,0.571461,0.00
98700,0.550735,0.00
98800,0.567635,0.00
98900,0.566994,0.00
99000,0.544351,0.00
99100,0.544927,0.00
99200,0.575438,0.00
99300,0.533043,0.00
99400,0.523649,0.00
99500,0.555419,0.00
99600,0.529109,0.00
99700,0.536386,0.00
99800,0.542464,0.00
99900,0.532162,0.00
100000,0.544876,0.00
100100,0.547380,0.00
100200,0.533967,0.00
100300,0.539557,0.00
100400,0.545558,0.00
100500,0.541983,0.00
100600,0.555010,0.00
100700,0.548118,0.00
100800,0.535561,0.00
100900,0.543579,0.00
101000,0.549260,0.00
101100,0.541076,0.00
101200,0.538919,0.00
101300,0.541797,0.00
101400,0.539955,0.00
101500,0.526275,0.00
101600,0.533347,0.00
101700,0.535392,0.00
101800,0.529072,0.00
101900,0.556971,0.00
102000,0.530986,0.00
102100,0.536823,0.00
102200,0.557257,0.00
102300,0.540165,0.00
102400,0.542583,0.00
102500,0.553624,0.00
102600,0.547884,0.00
102700,0.552151,0.00
102800,0.540105,0.00
102900,0.538478,0.00
103000,0.553592,0.00
103100,0.567638,0.00
103200,0.546246,0.00
103300,0.553902,0.00
103400,0.552499,0.00
103500,0.543311,0.00
103600,0.546305,0.00
103700,0.550038,0.00
103800,0.533845,0.00
103900,0.533771,0.00
104000,0.555197,0.00
104100,0.564535,0.00
104200,0.550465,0.00
104300,0.539696,0.00
104400,0.537559,0.00
104500,0.557608,0.00
104600,0.562458,0.00
104700,0.549592,0.00
104800,0.545291,0.00
104900,0.559222,0.00
105000,0.532029,0.00
105100,0.559358,0.00
105200,0.557505,0.00
105300,0.540683,0.00
105400,0.559676,0.00
105500,0.554147,0.00
105600,0.529941,0.00
105700,0.538880,0.00
105800,0.554529,0.00
105900,0.530259,0.00
106000,0.549354,0.00
106100,0.548158,0.00
106200,0.538876,0.00
106300,0.548753,0.00
106400,0.548545,0.00
106500,0.539922,0.00
106600,0.546268,0.00
106700,0.538297,0.00
106800,0.537985,0.00
106900,0.536818,0.00
107000,0.543541,0.00
107100,0.538116,0.00
107200,0.538122,0.00
107300,0.567367,0.00
107400,0.539150,0.00
107500,0.521641,0.00
107600,0.551509,0.00
107700,0.559544,0.00
107800,0.558528,0.00
107900,0.546040,0.00
108000,0.534345,0.00
108100,0.545814,0.00
108200,0.559584,0.00
108300,0.532499,0.00
108400,0.522807,0.00
108500,0.526789,0.00
108600,0.530969,0.00
108700,0.537756,0.00
108800,0.547324,0.00
108900,0.546516,0.00
109000,0.536470,0.00
109100,0.551826,0.00
109200,0.533265,0.00
109300,0.554846,0.00
109400,0.554120,0.00
109500,0.543074,0.00
109600,0.537087,0.00
109700,0.557861,0.00
109800,0.544686,0.00
109900,0.554317,0.00
110000,0.554663,0.00
110100,0.551468,0.00
110200,0.561200,0.00
110300,0.557374,0.00
110400,0.526939,0.00
110500,0.537330,0.00
110600,0.557680,0.00
110700,0.530709,0.00
110800,0.539400,0.00
110900,0.521720,0.00
111000,0.520858,0.00
111100,0.519185,0.00
111200,0.546038,0.00
